RPM,T_A(N),Q_A(Nm),P_A(W),T_B(N),Q_B(Nm),P_B(W),RPM_B
1024,3.50507210978589,0.180043728383773,19.3129387878759,5.44004087057417,0.206056848316263,22.3832152373506,1037.30303004855
1106,4.11053346151857,0.212329927775249,24.5854778516794,6.42073839553621,0.242089854870492,28.354970688925,1118.46547827077
1192,4.86535195588749,0.248335083034521,31.0084892276735,7.53703324231027,0.283217911009676,35.695189503219,1203.53545681924
1361,6.41666723654309,0.32402135115908,46.1914897959454,10.0877177124498,0.373296895957553,53.7012335420756,1373.72634007724
1522,7.99561055339946,0.400257542402207,63.8109773236209,12.9290513676636,0.47383615571738,76.0300192338844,1532.2442172644
1688,9.9114761647593,0.488740959219664,86.373784109678,16.1239077720621,0.584027727056431,103.572875642518,1693.49210785867
1849,11.8896598158147,0.582392220429915,112.786108153181,19.7993079138762,0.707279347785591,137.044682911828,1850.29997398908
1922,12.8030914340728,0.63178075113077,127.18961923567,21.4245384293335,0.766312629728437,154.350464199304,1923.41342460556
1999,13.9269186535199,0.682727486099988,142.917449533932,23.2120257359164,0.828628131386081,173.619338039075,2000.82372306204
2077,14.9826374371965,0.731097847813098,159.035184568414,25.1302084217846,0.894577806554237,194.184395572315,2072.85243874642
2152,16.0917768387312,0.781696518472514,176.154648550271,27.2598463114713,0.964532294329316,216.664323864623,2145.07377884207
2295,18.840877537558,0.901573675262598,216.667651097215,30.8381221169758,1.08887079742532,260.952103858298,2288.52433775298
2437,21.6798741670004,1.02702766555285,262.132446479034,34.668776349294,1.22050167719178,310.909501577588,2432.57895513279
2575,24.4315225462699,1.15123446052784,310.435325766839,38.8981496497472,1.36342908447738,366.703043262735,2568.34255039754
2704,27.2581777557234,1.2744049754024,360.927153494266,42.7313732941853,1.4974055137849,422.604446846373,2695.05129208322
2836,29.8862338438021,1.39550057386468,414.398930764566,47.0110818242029,1.64546692072144,485.746826837874,2818.97937512628
2947,33.5796420944299,1.55079591307521,478.587155815609,50.3299846863461,1.76484537402734,543.461643965538,2940.58027437544
3011,33.9250125685745,1.57329531476439,495.999729713549,53.1336017146238,1.85708429569774,580.988609387979,2987.49811442715
3125,37.3934028481547,1.71966827795688,562.73988112909,56.6959646851857,1.98296147112254,644.051645562819,3101.54439666397
