RPM;omega;T(gf);T(N);Q(Nm);P(W);
1006.000;105.348;539.999;5.296;0.187;19.68616467;
1172.000;122.732;747.492;7.330;0.258;31.60583297;
1256.000;131.528;874.005;8.571;0.298;39.15149035;
1339.000;140.220;1012.359;9.928;0.344;48.28418494;
1421.000;148.807;1165.008;11.425;0.394;58.57301512;
1498.000;156.870;1302.225;12.770;0.440;69.01279017;
1580.000;165.457;1456.120;14.280;0.487;80.51595489;
1661.000;173.940;1628.035;15.966;0.543;94.37811568;
1743.000;182.527;1803.471;17.686;0.594;108.4535908;
1823.000;190.904;1969.146;19.311;0.650;124.0080672;
1896.000;198.549;2133.210;20.920;0.700;138.9559008;
1977.000;207.031;2320.742;22.759;0.763;158.0146685;
2053.000;214.990;2520.501;24.718;0.824;177.1083028;
2131.000;223.158;2729.525;26.767;0.892;199.0375158;
2207.000;231.116;2936.532;28.798;0.954;220.5078891;
2276.000;238.342;3149.564;30.887;1.021;243.3513923;
2353.000;246.406;3350.765;32.860;1.084;267.016793;
2426.000;254.050;3570.713;35.017;1.156;293.7893922;
2498.000;261.590;3790.584;37.173;1.223;319.8863042;
2570.000;269.130;4024.053;39.462;1.297;349.0744756;
2637.000;276.146;4223.465;41.418;1.364;376.5928174;
2711.000;283.895;4432.501;43.468;1.428;405.4695105;
2780.000;291.121;4678.732;45.883;1.503;437.4875013;
2850.000;298.451;4869.905;47.757;1.570;468.4236995;
2918.000;305.572;5092.478;49.940;1.638;500.5638344;
2978.000;311.855;5342.159;52.389;1.715;534.8192955;
3041.000;318.453;5584.377;54.764;1.792;570.5723816;
3105.000;325.155;5816.561;57.041;1.872;608.7468017;
3167.000;331.647;6031.713;59.151;1.937;642.4760122;
3223.000;337.512;6319.434;61.972;2.024;683.1047388;
